Job Title,Skills
['Beauty Advisor'],"['Beauty Industry', 'Cosmetics', 'Makeup Artistry', 'Retail', 'Skin Care', 'Luxury Goods', 'Retail Sales', 'Fashion', 'Sales', 'Customer Service']"
['Behavioral Health Technician'],"['Applied Behavior Analysis', 'NA', 'Autism Spectrum Disorders', 'Working With Children', 'Behavior Management', 'Data Collection', 'Behavior Analysis', 'Behavioral Intervention', 'Positive Behavior Support', 'Data Entry']"
['Behavioral Therapist'],"['Applied Behavior Analysis', 'Autism Spectrum Disorders', 'NA', 'Behavioral Therapy', 'Behavior Management', 'Teaching', 'Behavioral Intervention', 'Data Collection', 'Working With Children', 'Behavior Analysis']"
['Benefits Specialist'],"['Benefits Administration', 'Employee Benefits Design', 'Insurance', 'Open Enrollment', 'U.S. Family and Medical Leave Act (FMLA)', 'Benefits Management', 'Life Insurance', 'Health Insurance', 'Compensation and Benefits', 'Retirement Benefits']"
['Billing Specialist'],"['Client Billing', 'Medical Billing', 'Billing Process', 'Accounts Receivable (AR)', 'Invoicing', 'Billing Systems', 'Insurance Billing', 'Data Entry', 'Billing Services', 'Medical Coding']"
['Blogger'],"['Blogging', 'Writing', 'Web Content Writing', 'Creative Writing', 'Blogger', 'Social Media', 'Editing', 'Search Engine Optimization (SEO)', 'Copywriting', 'Social Media Marketing']"
['Board Member'],"['Board of Directors', 'Fundraising', 'Nonprofit Organizations', 'Finance', 'Business Strategy', 'Strategy', 'Leadership', 'Strategic Planning', 'Business Development', 'Project Management']"
['Book Author'],"['Writing', 'Creative Writing', 'Editing', 'Book Writing', 'Fiction Writing', 'Publishing', 'Teaching', 'Web Content Writing', 'Storytelling', 'Public Speaking']"
['Bookkeeper'],"['Bookkeeping', 'QuickBooks', 'Accounts Payable', 'Accounting', 'Account Reconciliation', 'Bank Reconciliation', 'Accounts Receivable (AR)', 'Payroll Processing', 'Accounts Payable and Receivable', 'Invoicing']"
['Brand Manager'],"['Brand Management', 'Brand Marketing', 'Brand Strategy', 'Brand Development', 'Branding & Identity', 'Marketing Strategy', 'Brand Awareness', 'Digital Marketing', 'Social Media Marketing', 'Marketing']"
['Brand Representative'],"['Brand Ambassadorship', 'Marketing', 'Social Media', 'Sales', 'Brand Awareness', 'Social Media Marketing', 'Customer Service', 'Digital Marketing', 'Retail', 'Communication']"
['Brand Specialist'],"['Brand Strategy', 'Branding & Identity', 'Brand Marketing', 'Brand Awareness', 'Brand Development', 'Branding', 'Brand Management', 'Marketing', 'Social Media', 'Social Media Marketing']"
['Business Analyst'],"['Business Analysis', 'SQL', 'Agile Methodologies', 'Jira', 'Requirements Gathering', 'Tableau', 'Scrum', 'Business Analytics', 'Microsoft Power BI', 'Visio']"
['Business Consultant'],"['Business Consulting', 'Business Management', 'Economics', 'Financial Analysis', 'Strategy', 'Marketing', 'Business Strategy', 'Employee Training', 'Consulting', 'Law']"
['Business Development Consultant'],"['Business Development', 'Business-to-Business (B2B)', 'Sales', 'Business Strategy', 'Lead Generation', 'Consulting', 'Cold Calling', 'Account Management', 'Marketing Strategy', 'Sales Management']"
['Business Development Executive'],"['Business Development', 'Lead Generation', 'Sales', 'Business-to-Business (B2B)', 'Cold Calling', 'New Business Development', 'Sales & Marketing', 'Sales Management', 'Account Management', 'Customer Relationship Management (CRM)']"
['Business Development Manager'],"['Business Development', 'Business-to-Business (B2B)', 'Sales', 'Account Management', 'Sales Management', 'New Business Development', 'Business Relationship Management', 'Sales & Marketing', 'Marketing', 'Customer Relationship Management (CRM)']"
['Business Development Representative'],"['Cold Calling', 'Lead Generation', 'Business-to-Business (B2B)', 'Inside Sales', 'Business Development', 'Sales Prospecting', 'Sales', 'Salesforce.com', 'Software as a Service (SaaS)', 'ZoomInfo']"
['Business Development Specialist'],"['Business Development', 'Cold Calling', 'Sales', 'Business-to-Business (B2B)', 'Recruiting', 'Human Resources (HR)', 'Lead Generation', 'Small Business Development', 'Marketing', 'Business Development Consultancy']"
['Business Intelligence Analyst'],"['Microsoft Power BI', 'Tableau', 'SQL', 'Data Visualization', 'Data Analytics', 'Extract', 'Transform', 'Load (ETL)', 'Microsoft SQL Server', 'SQL Server Reporting Services (SSRS)', 'Business Intelligence Tools', 'Snowflake']"
['Business Intelligence Developer'],"['SQL Server Integration Services (SSIS)', 'Microsoft Power BI', 'SQL Server Reporting Services (SSRS)', 'SQL Server Analysis Services (SSAS)', 'Extract', 'Transform', 'Load (ETL)', 'Microsoft SQL Server', 'Tableau', 'SQL', 'Transact-SQL (T-SQL)', 'Business Intelligence (BI)']"
['Business Manager'],"['Business Management', 'Business Development', 'Account Management', 'Business Strategy', 'Business Analysis', 'Accounting', 'Sales', 'Operations Management', 'Financial Analysis', 'Sales Management']"
['Business Operations Manager'],"['Operations Management', 'Business Operations', 'Change Management', 'Business Process Improvement', 'Business Strategy', 'Project Management', 'Program Management', 'Sales Operations', 'Business Analysis', 'Strategic Planning']"
['Business Partner'],"['Finance', 'Change Management', 'Business Strategy', 'Management', 'Workforce Planning', 'Design', 'Marketing', 'Performance Management', 'Recruiting', 'Operations Management']"
['Business Specialist'],"['Full-life Cycle Recruiting', 'Human Resources (HR)', 'Recruiting', 'Business Development', 'Business Planning', 'Executive Search', 'Networking', 'Global Talent Acquisition', 'Operations Management', 'Marketing']"
['Business System Analyst'],"['Business Systems Analysis', 'Agile Methodologies', 'Business Analysis', 'Systems Analysis', 'Requirements Gathering', 'Jira', 'Scrum', 'SQL', 'Requirements Analysis', 'Software Development Life Cycle (SDLC)']"
['Busser'],"['Food & Beverage', 'Customer Service', 'Communication', 'Time Management', 'Problem Solving', 'Leadership', 'Teamwork', 'Organization Skills', 'Food Service', 'Sales']"
['Buyer'],"['Purchasing', 'Procurement', 'Purchase Orders', 'Inventory Management', 'Retail Buying', 'Supply Chain Management', 'Purchasing Negotiation', 'Purchasing Processes', 'Strategic Sourcing', 'SAP ERP']"
['Caddie'],"['Sports', 'Golf', 'Leadership', 'Communication', 'Customer Service', 'Time Management', 'Microsoft Excel', 'Interpersonal Skills', 'Problem Solving', 'Teamwork']"
['Call Center Representative'],"['Contact Centers', 'Customer Service', 'Data Entry', 'Phone Etiquette', 'Customer Relationship Management (CRM)', 'Typing', 'Customer Experience', 'Sales', 'Customer Satisfaction', 'Customer Support']"
['Camp Counselor'],"['Working With Children', 'Leadership', 'Childcare', 'Communication', 'Organization Skills', 'Teaching', 'Time Management', 'Team Leadership', 'Customer Service', 'Problem Solving']"
['Campus Ambassador'],"['Social Media', 'Social Media Marketing', 'Marketing', 'Event Planning', 'Communication', 'Public Speaking', 'Leadership', 'Sales', 'Community Outreach', 'Organization Skills']"
['Care Coordinator'],"['Case Management', 'Care Coordination', 'NA', 'Healthcare', 'Health Insurance', 'Patient Advocacy', 'Electronic Medical Records (EMR)', 'Patient Care', 'Medical Terminology', 'Data Entry']"
['Care Manager'],"['Case Management', 'Healthcare', 'NA', 'Patient Advocacy', 'Crisis Intervention', 'Discharge Planning', 'Healthcare Management', 'Motivational Interviewing', 'Care Planning', 'Care Coordination']"
['Care Specialist'],"['Healthcare', 'Customer Service', 'Time Management', 'Communication', 'Direct Patient Care', 'Organization Skills', 'Data Entry', 'Patient Care', 'Leadership', 'Interpersonal Skills']"
['Career Coach'],"['Career Development Coaching', 'Career Counseling', 'Career Management', 'Career Development', 'Coaching', 'Resume Writing', 'Job Coaching', 'Interview Preparation', 'Executive Coaching', 'Job Search Strategies']"
['Career Specialist'],"['Career Counseling', 'Resume Writing', 'Career Development', 'Public Speaking', 'Communication', 'Career Development Coaching', 'Time Management', 'Leadership', 'Customer Service', 'Organization Skills']"
['Carpenter'],"['Carpentry', 'Framing', 'Finish Carpentry', 'Construction', 'Drywall', 'Cabinetry', 'Blueprint Reading', 'Construction Safety', 'Woodworking', 'Steel Framing']"
['Case Management Nurse'],"['Case Management', 'Nursing', 'Home Care', 'Nursing Management', 'Medical-Surgical', 'Patient Education', 'Nursing Documentation', 'Nursing Education', 'Medical Case Management', 'Nursing Process']"
['Case Manager'],"['Case Management', 'Social Services', 'NA', 'Case Management Services', 'Crisis Intervention', 'Mental Health', 'Social Work', 'Motivational Interviewing', 'Time Management', 'Community Outreach']"
['Cashier'],"['Cashiering', 'Customer Service', 'Cash Handling', 'Retail', 'Communication', 'Stocking', 'Time Management', 'Organization Skills', 'Customer Experience', 'Problem Solving']"
['Certified Nursing Assistant'],"['Certified Nursing Assistant (CNA)', 'Patient Care', 'Vital Signs', 'Basic Life Support (BLS)', 'Home Care', 'Direct Patient Care', 'Cardiopulmonary Resuscitation (CPR)', 'Healthcare', 'Patient Safety', 'Nursing']"
['Chef'],"['Culinary Skills', 'Culinary Management', 'Cooking', 'Menu Development', 'Recipe Development', 'Fine Dining', 'Food Preparation', 'Grills', 'Food & Beverage', 'Pastry']"
['Chemist'],"['Analytical Chemistry', 'Chemistry', 'High-Performance Liquid Chromatography (HPLC)', 'Gas Chromatography', 'Liquid Chromatography-Mass Spectrometry (LC-MS)', 'Wet Chemistry', 'Laboratory Skills', 'GC-MS', 'UV/Vis Spectroscopy', 'Good Laboratory Practice (GLP)']"
['Chief Executive Officer'],"['Business Development', 'Operations Management', 'CEOs', 'Business Strategy', 'Board of Directors', 'Entrepreneurship', 'Business Planning', 'Networking', 'Fundraising', 'Marketing']"
['Chief Financial Officer'],"['Financial Analysis', 'Finance', 'Financial Reporting', 'Accounting', 'Financial Planning', 'Financial Statements', 'Financial Accounting', 'Corporate Finance', 'Mergers & Acquisitions (M&A)', 'CFOs']"
['Chief Information Officer'],"['Cybersecurity', 'Information Technology', 'IT Strategy', 'C++', 'IT Management', 'Cloud Computing', 'CIOs', 'IT Operations', 'IT Infrastructure Management', 'Information Security']"
['Chief Marketing Officer'],"['Business Management', 'Marketing Analytics', 'Marketing', 'Market Planning', 'Marketing Strategy', 'International Relations', 'Market Research', 'Supply Chain Management', 'Digital Marketing', 'Channel Sales']"
['Chief Operating Officer'],"['Operations Management', 'Business Development', 'Business Strategy', 'Strategic Planning', 'P&L Management', 'Executive Management', 'Organizational Development', 'Leadership', 'New Business Development', 'Project Management']"
['Chief Technology Officer'],"['Information Technology', 'Internet Culture', 'Technology Management', 'C++', 'Python (Programming Language)', 'Computer Science', 'Linux', 'Human Resources (HR)', 'Amazon Web Services (AWS)', 'Technology Solutions']"
['Child Care Specialist'],"['Childcare', 'Working With Children', 'Child Development', 'Early Childhood Education', 'Organization Skills', 'Spanish', 'Communication', 'Teaching', 'Early Childhood Development', 'Customer Service']"
['Childcare Provider'],"['Childcare', 'Working With Children', 'Organization Skills', 'Child Development', 'Time Management', 'Communication', 'Customer Service', 'Leadership', 'Early Childhood Development', 'Teaching']"
['Civil Engineer'],"['Civil Engineering', 'Roadway Design', 'AutoCAD', 'Stormwater Management', 'Land Development', 'Engineering', 'MicroStation', 'Construction Management', 'Construction', 'Autodesk Civil 3D']"
['Civil Servant'],"['Government Relations', 'Government', 'Leadership', 'Research', 'Public Speaking', 'Communication', 'Public Policy', 'Policy Analysis', 'Government Contracting', 'Governmental Affairs']"
['Claims Adjuster'],"['Insurance', 'Claims Handling', 'Claims Management', 'Property and Casualty Insurance', 'Claim Investigation', 'Auto Claims', 'Claims Resolution', 'Insurance Claims', 'Xactimate', 'Property Claims']"
['Claims Specialist'],"['Claims Management', 'Insurance', 'Claims Handling', 'Claim Investigation', 'Claims Resolution', 'Insurance Claims', 'Auto Claims', 'Property and Casualty Insurance', ""Workers' Compensation Claims"", 'Property Claims']"
['Client Manager'],"['Account Management', 'Client Relations', 'Customer Relationship Management (CRM)', 'Client Services', 'Customer Retention', 'Project Management', 'Relationship Building', 'Customer Satisfaction', 'Communication', 'Customer Experience']"
['Client Services Manager'],"['Client Services', 'Client Relations', 'Account Management', 'Customer Relationship Management (CRM)', 'Customer Service Management', 'Project Management', 'Customer Service', 'Relationship Building', 'Customer Retention', 'Salesforce.com']"
['Client Services Representative'],"['Client Services', 'Customer Relationship Management (CRM)', 'Customer Support', 'Client Relations', 'Customer Service', 'Data Entry', 'Customer Satisfaction', 'Salesforce.com', 'Account Management', 'Time Management']"
['Clinical Coordinator'],"['Healthcare', 'Medical-Surgical', 'Electronic Medical Records (EMR)', 'Patient Education', 'Nursing', 'Advanced Cardiac Life Support (ACLS)', 'Basic Life Support (BLS)', 'Medical Terminology', 'Patient Safety', 'Nursing Management']"
['Clinical Director'],"['Clinical Supervision', 'Mental Health Counseling', 'Addiction Recovery', 'Cognitive Behavioral Therapy (CBT)', 'Clinical Operations', 'Management', 'Psychotherapy', 'NA', 'Applied Behavior Analysis', 'Trauma Therapy']"
['Clinical Fellow'],"['Clinical Research', 'Medicine', 'Clinical Trials', 'Medical Education', 'Good Clinical Practice (GCP)', 'Medical Research', 'Healthcare', 'Research', 'Internal Medicine', 'Oncology']"
['Clinical Instructor'],"['Nursing Education', 'Nursing', 'Clinical Education', 'Advanced Cardiac Life Support (ACLS)', 'Patient Education', 'Critical Care Nursing', 'Basic Life Support (BLS)', 'Healthcare', 'Teaching', 'Telemetry']"
['Clinical Manager'],"['Clinical Supervision', 'Clinical Operations', 'Nursing Management', 'Nursing', 'Medical-Surgical', 'Healthcare Management', 'Management', 'Healthcare', 'Nursing Education', 'Leadership']"
['Clinical Pharmacist'],"['Clinical Pharmacy', 'Hospital Pharmacy', 'Pharmacy Practice', 'Patient Counseling', 'Certified Immunizer', 'Clinical Pharmacology', 'Pharmacy', 'Medication Reconciliation', 'Community Pharmacy', 'Medication Adherence']"
['Clinical Research Associate'],"['Good Clinical Practice (GCP)', 'Clinical Monitoring', 'Clinical Trial Management System (CTMS)', 'Clinical Research', 'Electronic Data Capture (EDC)', 'Clinical Trials', 'Oncology', 'Oncology Clinical Research', 'Clinical Research Associates', 'Trial Management']"
['Clinical Research Coordinator'],"['Clinical Research', 'Clinical Trials', 'Good Clinical Practice (GCP)', 'REDCap', 'Electronic Data Capture (EDC)', 'Study Coordination', 'Institutional Review Board (IRB)', 'Patient Recruitment', 'Medidata', 'Oncology']"
['Clinical Social Worker'],"['Social Work', 'Cognitive Behavioral Therapy (CBT)', 'Mental Health', 'Mental Health Counseling', 'Psychotherapy', 'Group Therapy', 'NA', 'Crisis Intervention', 'Trauma Therapy', 'Medical Social Work']"
['Clinical Specialist'],"['Mental Health Counseling', 'Group Therapy', 'Cognitive Behavioral Therapy (CBT)', 'Medical Devices', 'Psychotherapy', 'Case Management', 'Healthcare', 'Electronic Medical Records (EMR)', 'Clinical Research', 'Motivational Interviewing']"
['Clinical Supervisor'],"['Clinical Supervision', 'Supervisory Skills', 'Cognitive Behavioral Therapy (CBT)', 'Trauma Therapy', 'Applied Behavior Analysis', 'NA', 'Mental Health Counseling', 'Addiction Recovery', 'Mental Health', 'Psychotherapy']"
['Clinician'],"['Mental Health Counseling', 'Cognitive Behavioral Therapy (CBT)', 'Mental Health', 'Group Therapy', 'Psychotherapy', 'Social Work', 'Crisis Intervention', 'Case Management', 'Family Therapy', 'Motivational Interviewing']"
['Co-Founder'],"['Entrepreneurship', 'Business Strategy', 'Business Development', 'Fundraising', 'Start-ups', 'Marketing Strategy', 'Leadership', 'Marketing', 'Social Media Marketing', 'Project Management']"
['Co-Owner'],"['Team Management', 'Entrepreneurship', 'Sales', 'Social Media Marketing', 'Small Business', 'Direct Sales', 'Business Development', 'Marketing', 'Management', 'Leadership']"
['Collections Specialist'],"['Debt Collection', 'Accounts Receivable (AR)', 'Collections Management', 'A/R Collections', 'Cash Collection', 'Data Entry', 'Account Management', 'Museum Collections', 'Customer Service', 'Credit Analysis']"
['Commander'],"['Military', 'Military Operations', 'Organizational Leadership', 'Military Leadership', 'Command', 'Leadership Development', 'Strategic Planning', 'Operational Planning', 'Joint Military Operations', 'Military Training']"
['Communications Assistant'],"['Social Media', 'Public Relations', 'Writing', 'Social Media Communications', 'Canva', 'Social Media Marketing', 'Graphic Design', 'Adobe Creative Suite', 'Communication', 'Adobe InDesign']"
['Communications Coordinator'],"['Public Relations', 'Writing', 'Social Media', 'Strategic Communications', 'Editing', 'Social Media Communications', 'Internal Communications', 'Marketing', 'Social Media Marketing', 'Graphic Design']"
['Communications Manager'],"['Strategic Communications', 'Internal Communications', 'Corporate Communications', 'Crisis Communications', 'Communications Planning', 'Public Relations', 'Social Media Communications', 'Writing', 'Media Relations', 'Web Content Writing']"
['Communications Specialist'],"['Strategic Communications', 'Internal Communications', 'Public Relations', 'Social Media', 'Writing', 'Corporate Communications', 'Social Media Communications', 'Social Media Marketing', 'Communication', 'Editing']"
