Job_Title,Skills,skill_entities,job_entities,relationships
Data Manager,"Quantitative Analytics, Data Management, Data Governance, Tableau, SQL, Data Analytics, Master Data Management, SAS (Software), Management Systems, Electrical Technology","[('Quantitative Analytics', 'Skill'), ('Data Management', 'Skill'), ('Data Governance', 'Skill'), ('Tableau', 'Skill'), ('SQL', 'Skill'), ('Data Analytics', 'Skill'), ('Master Data Management', 'Skill'), ('SAS (Software)', 'Skill'), ('Management Systems', 'Skill'), ('Electrical Technology', 'Skill')]","[('Data Manager', 'Job')]","[{'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Quantitative Analytics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Data Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Data Governance', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Tableau', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'SQL', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Data Analytics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Master Data Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'SAS (Software)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Management Systems', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Manager', 'to_type': 'Skill', 'to_id': 'Electrical Technology', 'type': 'REQUIRES'}]"
Data Scientist,"Machine Learning, Data Science, Natural Language Processing (NLP), SQL, Python (Programming Language), Data Visualization, Deep Learning, Pandas (Software), Predictive Modeling, R (Programming Language)","[('Machine Learning', 'Skill'), ('Data Science', 'Skill'), ('Natural Language Processing (NLP)', 'Skill'), ('SQL', 'Skill'), ('Python (Programming Language)', 'Skill'), ('Data Visualization', 'Skill'), ('Deep Learning', 'Skill'), ('Pandas (Software)', 'Skill'), ('Predictive Modeling', 'Skill'), ('R (Programming Language)', 'Skill')]","[('Data Scientist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Machine Learning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Data Science', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Natural Language Processing (NLP)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'SQL', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Python (Programming Language)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Data Visualization', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Deep Learning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Pandas (Software)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'Predictive Modeling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Scientist', 'to_type': 'Skill', 'to_id': 'R (Programming Language)', 'type': 'REQUIRES'}]"
Data Specialist,"SQL, Tableau, Data Visualization, Python (Programming Language), Microsoft Power BI, Data Analytics, Data Analysis, R (Programming Language), Data Management, Data Entry","[('SQL', 'Skill'), ('Tableau', 'Skill'), ('Data Visualization', 'Skill'), ('Python (Programming Language)', 'Skill'), ('Microsoft Power BI', 'Skill'), ('Data Analytics', 'Skill'), ('Data Analysis', 'Skill'), ('R (Programming Language)', 'Skill'), ('Data Management', 'Skill'), ('Data Entry', 'Skill')]","[('Data Specialist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'SQL', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Tableau', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Data Visualization', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Python (Programming Language)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Microsoft Power BI', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Data Analytics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Data Analysis', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'R (Programming Language)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Data Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Data Specialist', 'to_type': 'Skill', 'to_id': 'Data Entry', 'type': 'REQUIRES'}]"
Database Administrator,"Database Administration, SQL*Net, Transact-SQL (T-SQL), SQL Server Reporting Services (SSRS), Microsoft SQL Server, Data Warehousing, Oracle Database, SQL Server Integration Services (SSIS), Data Centers, SQL Server Analysis Services (SSAS)","[('Database Administration', 'Skill'), ('SQL*Net', 'Skill'), ('Transact-SQL (T-SQL)', 'Skill'), ('SQL Server Reporting Services (SSRS)', 'Skill'), ('Microsoft SQL Server', 'Skill'), ('Data Warehousing', 'Skill'), ('Oracle Database', 'Skill'), ('SQL Server Integration Services (SSIS)', 'Skill'), ('Data Centers', 'Skill'), ('SQL Server Analysis Services (SSAS)', 'Skill')]","[('Database Administrator', 'Job')]","[{'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Database Administration', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'SQL*Net', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Transact-SQL (T-SQL)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'SQL Server Reporting Services (SSRS)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Microsoft SQL Server', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Data Warehousing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Oracle Database', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'SQL Server Integration Services (SSIS)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'Data Centers', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Database Administrator', 'to_type': 'Skill', 'to_id': 'SQL Server Analysis Services (SSAS)', 'type': 'REQUIRES'}]"
Deli Clerk,"Customer Service, Food & Beverage, Food Safety, Food Preparation, Cashiering, Retail, Time Management, Team Leadership, Stocking, Communication","[('Customer Service', 'Skill'), ('Food & Beverage', 'Skill'), ('Food Safety', 'Skill'), ('Food Preparation', 'Skill'), ('Cashiering', 'Skill'), ('Retail', 'Skill'), ('Time Management', 'Skill'), ('Team Leadership', 'Skill'), ('Stocking', 'Skill'), ('Communication', 'Skill')]","[('Deli Clerk', 'Job')]","[{'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Customer Service', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Food & Beverage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Food Safety', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Food Preparation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Cashiering', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Retail', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Time Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Team Leadership', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Stocking', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Deli Clerk', 'to_type': 'Skill', 'to_id': 'Communication', 'type': 'REQUIRES'}]"
Delivery Driver,"Professional Driving, Transportation, Customer Service, Time Management, Communication, Sales, Customer Satisfaction, Problem Solving, Organization Skills, Cash Handling","[('Professional Driving', 'Skill'), ('Transportation', 'Skill'), ('Customer Service', 'Skill'), ('Time Management', 'Skill'), ('Communication', 'Skill'), ('Sales', 'Skill'), ('Customer Satisfaction', 'Skill'), ('Problem Solving', 'Skill'), ('Organization Skills', 'Skill'), ('Cash Handling', 'Skill')]","[('Delivery Driver', 'Job')]","[{'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Professional Driving', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Transportation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Customer Service', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Time Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Communication', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Customer Satisfaction', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Problem Solving', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Organization Skills', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Driver', 'to_type': 'Skill', 'to_id': 'Cash Handling', 'type': 'REQUIRES'}]"
Delivery Specialist,"Customer Service, Service Delivery, Time Management, Communication, Customer Satisfaction, Problem Solving, Leadership, Customer Experience, Sales, Organization Skills","[('Customer Service', 'Skill'), ('Service Delivery', 'Skill'), ('Time Management', 'Skill'), ('Communication', 'Skill'), ('Customer Satisfaction', 'Skill'), ('Problem Solving', 'Skill'), ('Leadership', 'Skill'), ('Customer Experience', 'Skill'), ('Sales', 'Skill'), ('Organization Skills', 'Skill')]","[('Delivery Specialist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Customer Service', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Service Delivery', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Time Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Communication', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Customer Satisfaction', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Problem Solving', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Leadership', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Customer Experience', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Delivery Specialist', 'to_type': 'Skill', 'to_id': 'Organization Skills', 'type': 'REQUIRES'}]"
Dental Assistant,"Dental Assisting, Dentrix, Dentistry, Dental Care, Dental Software, Dental Imaging, X-ray, Sterilization, Restorative Dentistry, Dental Surgery","[('Dental Assisting', 'Skill'), ('Dentrix', 'Skill'), ('Dentistry', 'Skill'), ('Dental Care', 'Skill'), ('Dental Software', 'Skill'), ('Dental Imaging', 'Skill'), ('X-ray', 'Skill'), ('Sterilization', 'Skill'), ('Restorative Dentistry', 'Skill'), ('Dental Surgery', 'Skill')]","[('Dental Assistant', 'Job')]","[{'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dental Assisting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dentrix', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dentistry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dental Care', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dental Software', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dental Imaging', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'X-ray', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Sterilization', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Restorative Dentistry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Assistant', 'to_type': 'Skill', 'to_id': 'Dental Surgery', 'type': 'REQUIRES'}]"
Dental Hygienist,"Dentrix, Dental Care, Nitrous Oxide, Eaglesoft, Periodontal Disease, Local Anesthesia, Oral Care, Dentistry, Dental Prophylaxis, Dental Software","[('Dentrix', 'Skill'), ('Dental Care', 'Skill'), ('Nitrous Oxide', 'Skill'), ('Eaglesoft', 'Skill'), ('Periodontal Disease', 'Skill'), ('Local Anesthesia', 'Skill'), ('Oral Care', 'Skill'), ('Dentistry', 'Skill'), ('Dental Prophylaxis', 'Skill'), ('Dental Software', 'Skill')]","[('Dental Hygienist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Dentrix', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Dental Care', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Nitrous Oxide', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Eaglesoft', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Periodontal Disease', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Local Anesthesia', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Oral Care', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Dentistry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Dental Prophylaxis', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Dental Hygienist', 'to_type': 'Skill', 'to_id': 'Dental Software', 'type': 'REQUIRES'}]"
Design Consultant,"Interior Design, Residential Design, Design, Design Consulting, User Experience (UX), Sales, Floor Plans, Branding & Identity, Direct Sales, Adobe Creative Suite","[('Interior Design', 'Skill'), ('Residential Design', 'Skill'), ('Design', 'Skill'), ('Design Consulting', 'Skill'), ('User Experience (UX)', 'Skill'), ('Sales', 'Skill'), ('Floor Plans', 'Skill'), ('Branding & Identity', 'Skill'), ('Direct Sales', 'Skill'), ('Adobe Creative Suite', 'Skill')]","[('Design Consultant', 'Job')]","[{'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Interior Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Residential Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Design Consulting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'User Experience (UX)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Floor Plans', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Branding & Identity', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Direct Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Consultant', 'to_type': 'Skill', 'to_id': 'Adobe Creative Suite', 'type': 'REQUIRES'}]"
Design Director,"Design Direction, Fashion Design, Design Leadership, Design, Jewelry Design, Jewelry, Design Management, Art Direction, Retail Design, Typesetting","[('Design Direction', 'Skill'), ('Fashion Design', 'Skill'), ('Design Leadership', 'Skill'), ('Design', 'Skill'), ('Jewelry Design', 'Skill'), ('Jewelry', 'Skill'), ('Design Management', 'Skill'), ('Art Direction', 'Skill'), ('Retail Design', 'Skill'), ('Typesetting', 'Skill')]","[('Design Director', 'Job')]","[{'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Design Direction', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Fashion Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Design Leadership', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Jewelry Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Jewelry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Design Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Art Direction', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Retail Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Director', 'to_type': 'Skill', 'to_id': 'Typesetting', 'type': 'REQUIRES'}]"
Design Engineer,"SOLIDWORKS, Computer-Aided Design (CAD), Design, Design for Manufacturing, Design Engineering, 3D Printing, 3D Modeling, AutoCAD, Siemens NX, Geometric Dimensioning & Tolerancing","[('SOLIDWORKS', 'Skill'), ('Computer-Aided Design (CAD)', 'Skill'), ('Design', 'Skill'), ('Design for Manufacturing', 'Skill'), ('Design Engineering', 'Skill'), ('3D Printing', 'Skill'), ('3D Modeling', 'Skill'), ('AutoCAD', 'Skill'), ('Siemens NX', 'Skill'), ('Geometric Dimensioning & Tolerancing', 'Skill')]","[('Design Engineer', 'Job')]","[{'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'SOLIDWORKS', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Computer-Aided Design (CAD)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Design for Manufacturing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Design Engineering', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': '3D Printing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': '3D Modeling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'AutoCAD', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Siemens NX', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Engineer', 'to_type': 'Skill', 'to_id': 'Geometric Dimensioning & Tolerancing', 'type': 'REQUIRES'}]"
Design Specialist,"Design, Adobe Illustrator, Adobe InDesign, Graphic Design, Adobe Creative Suite, Adobe Photoshop, Fashion Design, Pattern Making, Styling, Branding & Identity","[('Design', 'Skill'), ('Adobe Illustrator', 'Skill'), ('Adobe InDesign', 'Skill'), ('Graphic Design', 'Skill'), ('Adobe Creative Suite', 'Skill'), ('Adobe Photoshop', 'Skill'), ('Fashion Design', 'Skill'), ('Pattern Making', 'Skill'), ('Styling', 'Skill'), ('Branding & Identity', 'Skill')]","[('Design Specialist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Adobe Illustrator', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Adobe InDesign', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Graphic Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Adobe Creative Suite', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Adobe Photoshop', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Fashion Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Pattern Making', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Styling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Design Specialist', 'to_type': 'Skill', 'to_id': 'Branding & Identity', 'type': 'REQUIRES'}]"
DevOps Engineer,"Kubernetes, DevOps, Terraform, Ansible, Amazon Web Services (AWS), Jenkins, Docker Products, Continuous Integration and Continuous Delivery (CI/CD), Linux, GitHub","[('Kubernetes', 'Skill'), ('DevOps', 'Skill'), ('Terraform', 'Skill'), ('Ansible', 'Skill'), ('Amazon Web Services (AWS)', 'Skill'), ('Jenkins', 'Skill'), ('Docker Products', 'Skill'), ('Continuous Integration and Continuous Delivery (CI/CD)', 'Skill'), ('Linux', 'Skill'), ('GitHub', 'Skill')]","[('DevOps Engineer', 'Job')]","[{'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Kubernetes', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'DevOps', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Terraform', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Ansible', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Amazon Web Services (AWS)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Jenkins', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Docker Products', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Continuous Integration and Continuous Delivery (CI/CD)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'Linux', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'DevOps Engineer', 'to_type': 'Skill', 'to_id': 'GitHub', 'type': 'REQUIRES'}]"
