Job Title,Skills,skill_entities,job_entities,relationships
Actor,"Acting, Theatre, Voice Acting, Film Actor, Improvisation, Performing Arts, Dance, Singing, Theatrical Production, Film Production","[('Acting, Theatre, Voice Acting, Film Actor, Improvisation, Performing Arts, Dance, Singing, Theatrical Production, Film Production', 'SKILL')]","[('Actor', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Actor', 'to_type': 'SKILL', 'to_id': 'Acting, Theatre, Voice Acting, Film Actor, Improvisation, Performing Arts, Dance, Singing, Theatrical Production, Film Production', 'type': 'REQUIRES'}]"
Administrative Assistant,"Administrative Assistance, Office Administration, Data Entry, Scheduling, Administration, QuickBooks, Executive Administrative Assistance, Organization Skills, Customer Service, Microsoft Outlook","[('Administrative Assistance, Office Administration, Data Entry, Scheduling, Administration, QuickBooks, Executive Administrative Assistance, Organization Skills, Customer Service, Microsoft Outlook', 'SKILL')]","[('Administrative Assistant', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Administrative Assistant', 'to_type': 'SKILL', 'to_id': 'Administrative Assistance, Office Administration, Data Entry, Scheduling, Administration, QuickBooks, Executive Administrative Assistance, Organization Skills, Customer Service, Microsoft Outlook', 'type': 'REQUIRES'}]"
Administrative Associate,"Administrative Assistance, Office Administration, Data Entry, Administration, Expense Reports, Microsoft Outlook, Executive Administrative Assistance, Event Planning, Microsoft Excel, Organization Skills","[('Administrative Assistance, Office Administration, Data Entry, Administration, Expense Reports, Microsoft Outlook, Executive Administrative Assistance, Event Planning, Microsoft Excel, Organization Skills', 'SKILL')]","[('Administrative Associate', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Administrative Associate', 'to_type': 'SKILL', 'to_id': 'Administrative Assistance, Office Administration, Data Entry, Administration, Expense Reports, Microsoft Outlook, Executive Administrative Assistance, Event Planning, Microsoft Excel, Organization Skills', 'type': 'REQUIRES'}]"
Administrative Coordinator,"Office Administration, Administrative Assistance, Administration, Data Entry, Scheduling, Microsoft Outlook, Event Planning, Spreadsheets, Organization Skills, Time Management","[('Office Administration, Administrative Assistance, Administration, Data Entry, Scheduling, Microsoft Outlook, Event Planning, Spreadsheets, Organization Skills, Time Management', 'SKILL')]","[('Administrative Coordinator', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Administrative Coordinator', 'to_type': 'SKILL', 'to_id': 'Office Administration, Administrative Assistance, Administration, Data Entry, Scheduling, Microsoft Outlook, Event Planning, Spreadsheets, Organization Skills, Time Management', 'type': 'REQUIRES'}]"
Administrative Manager,"Office Administration, Administration, Administrative Assistance, Supervisory Skills, QuickBooks, Management, Accounting, Operations Management, Customer Relationship Management (CRM), Leadership","[('Office Administration, Administration, Administrative Assistance, Supervisory Skills, QuickBooks, Management, Accounting, Operations Management, Customer Relationship Management (CRM), Leadership', 'SKILL')]","[('Administrative Manager', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Administrative Manager', 'to_type': 'SKILL', 'to_id': 'Office Administration, Administration, Administrative Assistance, Supervisory Skills, QuickBooks, Management, Accounting, Operations Management, Customer Relationship Management (CRM), Leadership', 'type': 'REQUIRES'}]"
Administrative Specialist,"Administrative Assistance, Office Administration, Data Entry, Administration, Microsoft Outlook, Microsoft Excel, Time Management, Microsoft Office, Customer Service, Organization Skills","[('Administrative Assistance, Office Administration, Data Entry, Administration, Microsoft Outlook, Microsoft Excel, Time Management, Microsoft Office, Customer Service, Organization Skills', 'SKILL')]","[('Administrative Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Administrative Specialist', 'to_type': 'SKILL', 'to_id': 'Administrative Assistance, Office Administration, Data Entry, Administration, Microsoft Outlook, Microsoft Excel, Time Management, Microsoft Office, Customer Service, Organization Skills', 'type': 'REQUIRES'}]"
Admissions Counselor,"Recruiting, Higher Education, Admissions Counseling, Admissions, Slate, Event Planning, College Recruiting, Public Speaking, Higher Education Recruitment, Student Recruiting","[('Recruiting, Higher Education, Admissions Counseling, Admissions, Slate, Event Planning, College Recruiting, Public Speaking, Higher Education Recruitment, Student Recruiting', 'SKILL')]","[('Admissions Counselor', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Admissions Counselor', 'to_type': 'SKILL', 'to_id': 'Recruiting, Higher Education, Admissions Counseling, Admissions, Slate, Event Planning, College Recruiting, Public Speaking, Higher Education Recruitment, Student Recruiting', 'type': 'REQUIRES'}]"
Aircraft Mechanic,"Aircraft Maintenance, Aviation, Airframe, Aircraft Systems, A&P, Military Aviation, PowerPlant, Maintenance & Repair, Mechanics, Aircraft Structures","[('Aircraft Maintenance, Aviation, Airframe, Aircraft Systems, A&P, Military Aviation, PowerPlant, Maintenance & Repair, Mechanics, Aircraft Structures', 'SKILL')]","[('Aircraft Mechanic', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Aircraft Mechanic', 'to_type': 'SKILL', 'to_id': 'Aircraft Maintenance, Aviation, Airframe, Aircraft Systems, A&P, Military Aviation, PowerPlant, Maintenance & Repair, Mechanics, Aircraft Structures', 'type': 'REQUIRES'}]"
Analytics Consultant,"Tableau, Data Visualization, Data Analytics, SQL, Microsoft Power BI, Data Science, Machine Learning, Python (Programming Language), Analytics, R (Programming Language)","[('Tableau, Data Visualization, Data Analytics, SQL, Microsoft Power BI, Data Science, Machine Learning, Python (Programming Language), Analytics, R (Programming Language)', 'SKILL')]","[('Analytics Consultant', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Analytics Consultant', 'to_type': 'SKILL', 'to_id': 'Tableau, Data Visualization, Data Analytics, SQL, Microsoft Power BI, Data Science, Machine Learning, Python (Programming Language), Analytics, R (Programming Language)', 'type': 'REQUIRES'}]"
Analytics Manager,"SQL, Data Analytics, Tableau, Data Visualization, Microsoft Power BI, SAS (Software), Analytics, Investment Banking, Data Science, Python (Programming Language)","[('SQL, Data Analytics, Tableau, Data Visualization, Microsoft Power BI, SAS (Software), Analytics, Investment Banking, Data Science, Python (Programming Language)', 'SKILL')]","[('Analytics Manager', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Analytics Manager', 'to_type': 'SKILL', 'to_id': 'SQL, Data Analytics, Tableau, Data Visualization, Microsoft Power BI, SAS (Software), Analytics, Investment Banking, Data Science, Python (Programming Language)', 'type': 'REQUIRES'}]"
Analytics Specialist,"Tableau, SQL, Microsoft Power BI, Data Visualization, Python (Programming Language), Data Analytics, R (Programming Language), Machine Learning, Data Science, Business Analytics","[('Tableau, SQL, Microsoft Power BI, Data Visualization, Python (Programming Language), Data Analytics, R (Programming Language), Machine Learning, Data Science, Business Analytics', 'SKILL')]","[('Analytics Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Analytics Specialist', 'to_type': 'SKILL', 'to_id': 'Tableau, SQL, Microsoft Power BI, Data Visualization, Python (Programming Language), Data Analytics, R (Programming Language), Machine Learning, Data Science, Business Analytics', 'type': 'REQUIRES'}]"
Application Analyst,"Epic EHR, Application Support, Electronic Medical Records (EMR), Healthcare Information Technology (HIT), SQL, Information Technology, Software Implementation, Troubleshooting, HL7 Standards, Analytical Skills","[('Epic EHR, Application Support, Electronic Medical Records (EMR), Healthcare Information Technology (HIT), SQL, Information Technology, Software Implementation, Troubleshooting, HL7 Standards, Analytical Skills', 'SKILL')]","[('Application Analyst', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Application Analyst', 'to_type': 'SKILL', 'to_id': 'Epic EHR, Application Support, Electronic Medical Records (EMR), Healthcare Information Technology (HIT), SQL, Information Technology, Software Implementation, Troubleshooting, HL7 Standards, Analytical Skills', 'type': 'REQUIRES'}]"
Application Developer,"C#, Java, .NET Framework, JavaScript, SQL, React.js, HTML, Git, Python (Programming Language), TypeScript","[('C#, Java, .NET Framework, JavaScript, SQL, React.js, HTML, Git, Python (Programming Language), TypeScript', 'SKILL')]","[('Application Developer', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Application Developer', 'to_type': 'SKILL', 'to_id': 'C#, Java, .NET Framework, JavaScript, SQL, React.js, HTML, Git, Python (Programming Language), TypeScript', 'type': 'REQUIRES'}]"
Application Engineer,"Python (Programming Language), Engineering, SOLIDWORKS, Computer-Aided Design (CAD), Amazon Web Services (AWS), Automation, Troubleshooting, AutoCAD, Geometric Dimensioning & Tolerancing, JavaScript","[('Python (Programming Language), Engineering, SOLIDWORKS, Computer-Aided Design (CAD), Amazon Web Services (AWS), Automation, Troubleshooting, AutoCAD, Geometric Dimensioning & Tolerancing, JavaScript', 'SKILL')]","[('Application Engineer', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Application Engineer', 'to_type': 'SKILL', 'to_id': 'Python (Programming Language), Engineering, SOLIDWORKS, Computer-Aided Design (CAD), Amazon Web Services (AWS), Automation, Troubleshooting, AutoCAD, Geometric Dimensioning & Tolerancing, JavaScript', 'type': 'REQUIRES'}]"
Architect,"Architecture, Architectural Design, Revit, Amazon Web Services (AWS), Architectural Drawings, Solution Architecture, Design, AutoCAD, SketchUp, Microsoft Azure","[('Architecture, Architectural Design, Revit, Amazon Web Services (AWS), Architectural Drawings, Solution Architecture, Design, AutoCAD, SketchUp, Microsoft Azure', 'SKILL')]","[('Architect', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Architect', 'to_type': 'SKILL', 'to_id': 'Architecture, Architectural Design, Revit, Amazon Web Services (AWS), Architectural Drawings, Solution Architecture, Design, AutoCAD, SketchUp, Microsoft Azure', 'type': 'REQUIRES'}]"
Architectural Designer,"Revit, Residential Design, Architectural Design, AutoCAD, Architectural Drawings, SketchUp, Architecture, Rhino 3D, Bluebeam, Construction Drawings","[('Revit, Residential Design, Architectural Design, AutoCAD, Architectural Drawings, SketchUp, Architecture, Rhino 3D, Bluebeam, Construction Drawings', 'SKILL')]","[('Architectural Designer', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Architectural Designer', 'to_type': 'SKILL', 'to_id': 'Revit, Residential Design, Architectural Design, AutoCAD, Architectural Drawings, SketchUp, Architecture, Rhino 3D, Bluebeam, Construction Drawings', 'type': 'REQUIRES'}]"
Architecture Specialist,"Revit, AutoCAD, Rhino 3D, Lumion, SketchUp, Bluebeam, Architectural Design, Architectural Drawings, Adobe InDesign, Adobe Illustrator","[('Revit, AutoCAD, Rhino 3D, Lumion, SketchUp, Bluebeam, Architectural Design, Architectural Drawings, Adobe InDesign, Adobe Illustrator', 'SKILL')]","[('Architecture Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Architecture Specialist', 'to_type': 'SKILL', 'to_id': 'Revit, AutoCAD, Rhino 3D, Lumion, SketchUp, Bluebeam, Architectural Design, Architectural Drawings, Adobe InDesign, Adobe Illustrator', 'type': 'REQUIRES'}]"
Art Director,"Art Direction, Branding & Identity, Design, Branding, Creative Strategy, Photo Shoots, Logo Design, Typography, Graphic Design, Adobe Creative Suite","[('Art Direction, Branding & Identity, Design, Branding, Creative Strategy, Photo Shoots, Logo Design, Typography, Graphic Design, Adobe Creative Suite', 'SKILL')]","[('Art Director', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Art Director', 'to_type': 'SKILL', 'to_id': 'Art Direction, Branding & Identity, Design, Branding, Creative Strategy, Photo Shoots, Logo Design, Typography, Graphic Design, Adobe Creative Suite', 'type': 'REQUIRES'}]"
Art Specialist,"Fine Art, Visual Arts, Art, Art Education, Adobe Creative Suite, Graphic Design, Adobe Photoshop, Art Direction, Art Therapy, Painting","[('Fine Art, Visual Arts, Art, Art Education, Adobe Creative Suite, Graphic Design, Adobe Photoshop, Art Direction, Art Therapy, Painting', 'SKILL')]","[('Art Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Art Specialist', 'to_type': 'SKILL', 'to_id': 'Fine Art, Visual Arts, Art, Art Education, Adobe Creative Suite, Graphic Design, Adobe Photoshop, Art Direction, Art Therapy, Painting', 'type': 'REQUIRES'}]"
Art Teacher,"Art Education, Visual Arts, Fine Art, Painting, Teaching, Art, Curriculum Development, Studio Art, Classroom Management, Education","[('Art Education, Visual Arts, Fine Art, Painting, Teaching, Art, Curriculum Development, Studio Art, Classroom Management, Education', 'SKILL')]","[('Art Teacher', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Art Teacher', 'to_type': 'SKILL', 'to_id': 'Art Education, Visual Arts, Fine Art, Painting, Teaching, Art, Curriculum Development, Studio Art, Classroom Management, Education', 'type': 'REQUIRES'}]"
Artist,"Painting, Fine Art, Digital Art, Art, Visual Arts, Drawing, Illustration, Acrylic Painting, Digital Illustration, Graphic Design","[('Painting, Fine Art, Digital Art, Art, Visual Arts, Drawing, Illustration, Acrylic Painting, Digital Illustration, Graphic Design', 'SKILL')]","[('Artist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Artist', 'to_type': 'SKILL', 'to_id': 'Painting, Fine Art, Digital Art, Art, Visual Arts, Drawing, Illustration, Acrylic Painting, Digital Illustration, Graphic Design', 'type': 'REQUIRES'}]"
Athlete,"Athletics, Sports, Time Management, Leadership, Intercollegiate Athletics, Communication, Team Leadership, Sports Coaching, Teamwork, Organization Skills","[('Athletics, Sports, Time Management, Leadership, Intercollegiate Athletics, Communication, Team Leadership, Sports Coaching, Teamwork, Organization Skills', 'SKILL')]","[('Athlete', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Athlete', 'to_type': 'SKILL', 'to_id': 'Athletics, Sports, Time Management, Leadership, Intercollegiate Athletics, Communication, Team Leadership, Sports Coaching, Teamwork, Organization Skills', 'type': 'REQUIRES'}]"
Athletic Trainer,"Athletic Training, Sports Medicine, Kinesiology, Athletics, Injury Prevention, Injury Rehabilitation, Sports Injuries, Rehabilitation, Orthopedic Rehabilitation, Athletic Taping","[('Athletic Training, Sports Medicine, Kinesiology, Athletics, Injury Prevention, Injury Rehabilitation, Sports Injuries, Rehabilitation, Orthopedic Rehabilitation, Athletic Taping', 'SKILL')]","[('Athletic Trainer', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Athletic Trainer', 'to_type': 'SKILL', 'to_id': 'Athletic Training, Sports Medicine, Kinesiology, Athletics, Injury Prevention, Injury Rehabilitation, Sports Injuries, Rehabilitation, Orthopedic Rehabilitation, Athletic Taping', 'type': 'REQUIRES'}]"
Attorney,"Litigation, Civil Litigation, Legal Writing, Personal Injury Law, Legal Research, Legal Advice, Family Law, Trial Practice, Estate Planning, Westlaw","[('Litigation, Civil Litigation, Legal Writing, Personal Injury Law, Legal Research, Legal Advice, Family Law, Trial Practice, Estate Planning, Westlaw', 'SKILL')]","[('Attorney', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Attorney', 'to_type': 'SKILL', 'to_id': 'Litigation, Civil Litigation, Legal Writing, Personal Injury Law, Legal Research, Legal Advice, Family Law, Trial Practice, Estate Planning, Westlaw', 'type': 'REQUIRES'}]"
Audio Engineer,"Audio Engineering, Pro Tools, Audio Post Production, Audio Mixing, Audio Recording, Live Sound, Music Production, Audio Editing, Audio Mastering, Logic Pro","[('Audio Engineering, Pro Tools, Audio Post Production, Audio Mixing, Audio Recording, Live Sound, Music Production, Audio Editing, Audio Mastering, Logic Pro', 'SKILL')]","[('Audio Engineer', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Audio Engineer', 'to_type': 'SKILL', 'to_id': 'Audio Engineering, Pro Tools, Audio Post Production, Audio Mixing, Audio Recording, Live Sound, Music Production, Audio Editing, Audio Mastering, Logic Pro', 'type': 'REQUIRES'}]"
Audio Visual Technician,"Audio Visual (AV) Systems, Live Sound, Audio Engineering, Lighting, Audio Visual Support, Crestron, Video Conferencing, Audio Mixing, Sound, Audio Visual System Design","[('Audio Visual (AV) Systems, Live Sound, Audio Engineering, Lighting, Audio Visual Support, Crestron, Video Conferencing, Audio Mixing, Sound, Audio Visual System Design', 'SKILL')]","[('Audio Visual Technician', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Audio Visual Technician', 'to_type': 'SKILL', 'to_id': 'Audio Visual (AV) Systems, Live Sound, Audio Engineering, Lighting, Audio Visual Support, Crestron, Video Conferencing, Audio Mixing, Sound, Audio Visual System Design', 'type': 'REQUIRES'}]"
Audit,"Auditing, Accounting, Microsoft Excel, Financial Audits, QuickBooks, CaseWare Software, Internal Audits, Financial Accounting, Alteryx, ProSystem fx Engagement","[('Auditing, Accounting, Microsoft Excel, Financial Audits, QuickBooks, CaseWare Software, Internal Audits, Financial Accounting, Alteryx, ProSystem fx Engagement', 'SKILL')]","[('Audit', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Audit', 'to_type': 'SKILL', 'to_id': 'Auditing, Accounting, Microsoft Excel, Financial Audits, QuickBooks, CaseWare Software, Internal Audits, Financial Accounting, Alteryx, ProSystem fx Engagement', 'type': 'REQUIRES'}]"
